index;code;country;gamma;GDPSH60;LIFEE060;P60; safrica ; laam; bmp1 ; BMS6087; GDC6089; STDC6089; PI6089; STPI6089; SCOUT; area ; freeop; freetar; dpop6090; pyr60; syr60; hyr60; human60; s60; h60 ; YrsOpen; ggcfd3; gvxdxe52; geerec1; gde1; assassp2; revcoup; pinstab2; wardum; prightsb; civlibb; ABSLATIT; FRAC; DEMOC65; PRIEXP70; RULELAW; URB60; RERD; EQINV; NONEQINV; humanyl ; tot1; work60l; lly1; BRIT; FRENCH; SPAIN; BUDDHA; CATH; CONFUC; HINDU; JEW; MUSLIM; PROT; lforce60; Mining; EcOrg; OthFrac; EngFrac
79;AFG;Afghanistan;0,00;;;0,10;0,00;0,00;0,88;75,70;14,94;16,14;8,24;13,72;0,00;;;;0,01;0,54;0,34;0,11;0,98;0,01;0,00;;;;;;0,00;0,52;0,00;;6,78;6,56;;;0,23;;;0,08;;;;;0,01;-1,10;0,07;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;3602,08;;;;
80;BHR;Bahrain;;;;0,47;0,00;0,00;;;;;;;;;;;0,04;0,90;0,29;0,10;1,28;0,42;0,00;;0,16;;;;;0,07;;;5,22;4,56;26,02;;;0,83;0,67;0,79;;;;;;;;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;;0,16;3,00;0,80;0,00
81;BGD;Bangladesh;0,01;6,69;43,60;0,47;0,00;0,00;0,61;64,91;;;11,61;18,59;0,00;144,00;0,21;0,07;0,03;0,54;0,24;0,02;0,79;0,08;0,01;0,00;0,02;0,34;0,00;0,00;;0,62;;1,00;4,50;4,28;23,88;;0,63;;0,17;0,05;70,00;0,01;0,06;5,31;0,00;-1,08;;1,00;0,00;0,00;0,00;0,00;0,00;0,16;0,00;0,83;0,00;17441,32;0,00;3,00;0,00;0,00
82;BUR;Myanmar (Burma);0,01;5,69;;0,56;0,00;0,00;1,49;101,48;;;5,92;11,27;0,00;677,00;;;0,02;0,68;0,31;0,01;1,01;0,10;0,01;0,00;0,06;;;0,06;0,00;0,36;0,00;1,00;6,89;6,17;17,68;0,47;;0,99;0,50;0,19;90,00;;;5,75;;-0,78;0,29;1,00;0,00;0,00;0,89;0,01;0,00;0,00;0,00;0,04;0,03;9981,41;0,01;1,00;0,01;0,00
83;CHN;China;;;36,30;;0,00;0,00;;;;;;;;;;;0,02;;;;;;;0,00;0,13;;;;0,00;0,04;0,00;;6,33;6,28;29,56;;0,16;0,30;;;;;;;;-0,66;;0,00;0,00;0,00;0,32;0,00;0,32;0,00;0,00;0,03;0,01;341041,09;0,05;0,00;0,94;0,00
84;HKG;Hong Kong;0,06;7,71;66,00;0,87;0,00;0,00;0,00;0,51;;;6,78;4,87;1,00;1,00;0,37;0,00;0,02;3,51;1,55;0,14;5,19;0,20;0,04;1,00;0,02;0,04;0,02;0,00;0,00;0,00;0,00;0,00;3,61;2,11;22,70;0,02;;0,04;1,00;0,89;116,00;0,07;0,13;39,99;;-0,94;;1,00;0,00;0,00;0,30;0,05;0,30;0,00;0,00;0,00;0,05;1197,41;0,00;5,00;0,98;0,00
85;IND;India;0,02;6,50;42,50;0,61;0,00;0,00;0,52;21,64;15,40;4,56;7,68;4,57;0,00;3288,00;0,13;0,11;0,02;1,33;0,10;0,00;1,43;0,20;0,03;0,02;0,05;0,09;0,02;0,03;0,00;0,12;0,20;1,00;2,00;3,06;25,27;0,89;0,91;0,48;0,50;0,18;94,00;0,01;0,15;9,28;-0,02;-0,82;;1,00;0,00;0,00;0,01;0,01;0,00;0,83;0,00;0,11;0,01;195781,45;0,02;3,00;0,00;0,00
86;IDN;Indonesia;0,04;6,43;41,50;0,71;0,00;0,00;0,15;25,25;43,02;29,66;85,83;223,37;1,00;1905,00;0,12;0,02;0,02;1,03;0,08;0,00;1,11;0,06;0,01;0,56;0,05;0,05;0,02;0,04;0,00;0,28;0,40;1,00;5,00;5,22;6,56;0,76;0,10;0,99;0,17;0,15;98,00;;;7,12;-0,05;;0,26;0,00;0,00;0,00;0,01;0,03;0,00;0,02;0,00;0,87;0,06;;0,12;3,00;0,01;0,00
87;IRN;Iran, IR of;0,01;7,84;46,00;0,42;0,00;0,00;0,14;115,27;23,94;19,25;11,08;14,14;1,00;1648,00;0,17;0,06;0,03;0,32;0,12;0,02;0,45;0,12;0,01;0,00;;0,01;0,02;0,04;0,01;0,24;0,00;1,00;5,44;5,78;35,38;0,76;0,45;0,96;0,17;0,34;102,00;;;3,54;-0,01;-1,22;0,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;5972,55;0,05;3,00;0,03;0,00
88;IRQ;Iraq;-0,02;8,11;46,00;0,65;0,00;0,00;0,13;90,85;;82,61;;;1,00;438,00;0,20;0,02;0,03;0,12;0,07;0,02;0,21;0,19;0,02;0,00;;0,05;0,04;0,07;0,00;0,80;0,40;1,00;6,89;6,89;33,31;0,36;0,11;0,78;0,17;0,43;133,00;;;1,74;-0,01;-1,32;0,21;1,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00;0,97;0,01;1828,83;0,41;0,00;0,64;0,00
